param	ESS
lnl	480.24
s0	208.97
s1	194.27
tau	261.15
alpha_r_library_1	388.77
alpha_r_library_2	422.24
alpha_r_library_3	325.73
alpha_r_library_4	390.75
spike_probability	885.27
inactive_mean	457.06
inactive_variance	620.97
active_mean_component1	991.34
active_mean_component2	689.78
active_variance_component1	620.97
active_variance_component2	620.97
weight_active	1083.41
weight_within_active_component_1	794.65
weight_within_active_component_2	794.65
