gen	Wass_L1	Wass_L2	Rums
10100	-0.0056036399107036	0.0298898359276193	-0.000207152358402369
10200	0.00335248952454176	0.0136294530818692	3.10171259289664e-05
10300	-0.00151333193410076	-0.0206147587761189	0.000699999999999999
10400	-0.0113051833457005	-0.0184397378406281	0.00040419115370411
10500	-0.00918797698182611	0.0134608230700695	-0.000529451126795526
10600	0.00111863825428229	-0.0100080646932309	-0.00235
10700	-0.00602297898972022	0.0227722159527453	0.000510763334316818
10800	-0.00831510751987509	0.0168227051025695	-0.00139893949668632
10900	-0.0163362090373342	0.0214058255961098	-0.00247858823642797
11000	-0.0128039691340791	0.0149319719524956	-0.00157983613177597
11100	-0.00287288729654125	0.00637464859446434	-0.000913895838255175
11200	-0.0143910460428148	-0.00591940818400432	-0.000860323182745877
11300	-0.0124228864374544	0.0375705879020505	-0.00104533913116829
11400	-0.00445831065807258	-0.0275547027986413	-0.00336130540904209
11500	-0.00322864156631721	0.00846258401864425	-0.000978623835660688
11600	-0.00522614544141319	-0.000782437652840334	-0.000412202737467841
11700	-0.0109430446767343	0.0114764666693943	1.11809173751823e-06
11800	0.000157471003604928	0.00467864070510562	-0.000162389247359705
11900	-0.00519964089416866	0.0107624271375051	-0.000903847026295704
12000	-0.00760239947740282	0.0282253531192271	0.0011529407779438
12100	-0.00901263270695133	0.0240432288860407	-0.000478300718335864
12200	0.00252735762730712	-0.00197833229591352	-5.53753254743904e-05
12300	-0.0129263660057478	-0.00516366974531045	-0.000807647007819209
12400	-0.00619199237167048	0.0223842684208853	-0.00293642566364783
12500	-0.00242882926337353	0.0111598955731539	0.00133099141996894
12600	0.00105262743518568	0.0236172225994761	-0.00140000000000001
12700	-0.00488874319997503	0.0039443613722088	0.000200000000000002
12800	-0.00459240699894409	0.0224114113371551	0.000125382858363197
12900	-0.00780936845847173	0.0248795505949671	0.000456140464994495
13000	-0.00157812819481803	0.00665986907893906	0.00228096123419575
13100	-0.00446901451813011	-0.00342567847004575	0.000766434089340465
13200	-0.011636765445038	-0.001415114953272	-0.000777257248886044
13300	-0.000721380156277616	0.0208761896874546	0.000156583674067609
13400	-0.00374858308256379	-0.00398693631039296	-0.000685082300373282
13500	-0.0077136977167825	0.0188680883263838	-0.000462000670727915
13600	0.00186997265066159	-0.0270435599847007	0.000251288251449631
13700	-0.00204048025603658	0.0199294664377045	0.000767035696814359
13800	0.00351047242471835	0.0222766642092854	9.94166206482877e-05
13900	-0.00573796794253238	0.00219021020560635	-1.57927756335198e-05
14000	-0.00657287673527306	0.00286039818133109	-0.000166807899319228
14100	-0.0112731146653048	0.0302506111083295	0.00161817247186572
14200	-0.0080851850809309	-0.0214812359371891	0.000650000000000001
14300	-0.00562427785796511	-0.0138424889592464	0.000151887271449883
14400	-0.00692062415404304	0.0205018758658274	0.000718305451795194
14500	-0.00179194076072724	-0.0124707524399553	-0.00186724998714622
14600	0.00032327861321034	0.0349360936246965	-0.000800000000000002
14700	-0.00854262509166342	0.0138732005180499	-0.000849798816926498
14800	-0.011910732494399	-0.00854204067707542	-6e-04
14900	-0.00184444113975308	0.0299974732994359	0.00145
15000	-0.00982960460910857	-0.0238839594405067	-0.00215
15100	-0.00372829315924212	0.0164805556643895	-0.0008076468746291
15200	-0.00740383179568552	0.0183334924865221	-0.0024
15300	-0.0027241864099233	0.0125639253263528	0.000849999999999997
15400	0.00373412210665489	-0.00140751148691936	-0.000284921416111753
15500	-0.00433999654599781	0.010518344260914	0.000359450951338186
15600	-0.00563931890349163	-0.0105987390630356	-0.000309221792578442
15700	-0.00862857550066423	0.0046272494999728	-0.000537391579143915
15800	0.000817769506588323	-0.000515495352180595	-0.00102002264379504
15900	-0.00300424820644941	-0.00640639105206743	-0.00124106848457701
16000	-0.00947373296815129	-0.0098213495128897	0.00146657768314597
16100	-0.00943089544377088	0.0174530922562776	-0.003
16200	-0.00678230080527355	-0.0341878573442949	0.00164238108837111
16300	-0.00720738850794599	0.05218326474335	0.000814294677194349
16400	-0.0122529175870571	0.0200393742940703	0.000522398657243611
16500	-0.00643824802059605	0.0162372115490648	0.000326146772104675
16600	0.00609445145085047	0.0147398575880842	-0.000449999999999999
16700	0.00698825233837831	0.0125129813050409	0.00185
16800	0.000403989224903027	-0.00715631254300853	-0.000394011325825776
16900	-0.00926304808487093	-0.0311190960181512	0.000596584084687234
17000	0.00234844540680291	0.0258632387678131	-0.0015341469803972
17100	-0.00435786137791744	-0.0133467087346348	-0.00205982795929432
17200	-0.00554162812638609	0.0327203434227679	-0.0023
17300	0.00661559411780799	0.0207483250698561	0.0023328646218172
17400	-0.0136099899943671	-0.00504733833834729	-0.000112210929824958
17500	-0.011479661790246	0.0156563826980885	0.00161804984629185
17600	0.00152012222374119	0.0204835904909046	0.000970197731786585
17700	0.00197832816525977	-0.0165822533157864	-0.000192910461413315
17800	-0.00306735357891139	0.0291061731694268	0.000232129674863097
17900	-0.00386855989158773	0.018395936599652	-0.000533509941124152
18000	0.00415134766083206	0.0253196079735496	-0.000762145256611751
18100	-0.00666473459758304	0.00153448658871368	-0.000149999999999997
18200	-0.00896238965879462	-0.00753653671034445	0.000263136148653278
18300	-0.000686524448197362	0.0238435294662081	0.000462348237326882
18400	-0.0055014407092918	0.013936172881668	0.00014188482980184
18500	-0.00495416749327596	0.018211972732617	-9.88489136828467e-05
18600	0.00353896027605405	0.012434749073865	-0.00334900893452672
18700	0.0014840681576083	-0.0106092298363979	0.00177751300872418
18800	-0.00106421904994815	0.0120406004361388	-0.000578484975313001
18900	-0.00144757845557428	-0.00563151876247933	0.0011380310769373
19000	0.00368161603986619	-0.00544459039352494	0.00146761484507922
