gen	Scaled_Wass_Lower_library_1	Scaled_Wass_Lower_library_2	Scaled_Wass_Lower_library_3	Scaled_Wass_Lower_library_4	Rums_library_1	Rums_library_2	Rums_library_3	Rums_library_4
5040	0.0255736138903841	0.0300021756832744	0.0197335864807768	-0.00205403503561307	-0.000600000000000003	-0.0016	-0.000199999999999992	0.00259999999999999
5080	0.0252217367658919	0.00821763639700514	0.00318870989915557	0.000303008853476165	-0.00360000000000001	-0.002	-0.00142535068689101	-0.000200000000000006
5120	0.0172323835593502	0.016201684012304	0.0139538735329375	-0.0207128399328719	0.0014	-0.0028	0.00620000000000001	-0.000373543270375518
5160	0.0250887946940572	0.0232918913837719	0.0120841647279609	-0.0128832927975515	0	0.0024	-0.00180000000000001	-0.00115675455003265
5200	-0.00347220911167886	0.0480060633977562	0.00515666819676622	0.0216750757971611	-0.000399999999999998	0.0034	0.00126018173652485	0.003
5240	0.00898320919665171	0.00915416305468815	0.0208378255259912	0.00176661257436558	-0.0018	-0.000600000000000003	0.00119999999999999	0.00380000000000001
5280	0.0141819353860988	0.00738635660366588	-0.00116208773722246	0.00184348570107684	0.000799999999999995	-0.004	0.000599999999999989	0.003
5320	0.0228234609182519	0.0155834768410976	0.0110218987702939	-0.00694549607678133	0.000399999999999998	-0.0014	0.00120000000000001	0.0001507565765764
5360	0.0158317695556685	0.0161756607329258	0.0195690686158881	0.0078505501411881	0.001	-0.0024	0.00142708380658277	0.000921682932649437
5400	0.0131920733666693	0.00537100080151093	0.0181614333228161	0.00186948724951903	0.0016	0.0048	-0.00219999999999999	-0.000600000000000003
5440	0.0169006451044384	0.0170404049283956	0.00858271476597973	0.00697844168461798	-4.81582807896203e-05	0.003	-0.000800000000000009	0.000772675515757354
5480	0.0145169628878592	0.0088896370471087	0.0153488589752921	-0.00695110795482441	-0.0014	-0.000199999999999992	-0.00199999999999999	-0.000200000000000006
5520	0.0317016493194527	0.00759809556673912	0.00765877047881593	-0.00427852640393059	0.000600000000000003	0.0048	-0.000399999999999998	0.00159999999999999
5560	0.0211245788523391	0.0119443813606635	0.0057551437804625	-0.00655211073321858	-0.0024	0.000758049745026523	-0.00460000000000001	-0.000399999999999998
5600	0.0290718370537252	0.0261496214769365	0.00954593359428878	0.00947931460935509	0.000441004504485573	0.001	-0.00148049254121579	-0.000200000000000006
5640	0.00751087054046383	0.0131277834399199	0.00739821241926162	0.00307315968220648	0.00154275396594587	8.6540073060748e-05	0.0028	-0.000962222146830699
5680	0.0282275294758174	0.0203366966143341	0.0132947224622221	0.000551020680709113	-0.00110080480808752	-0.000600000000000003	-0.000149376001752188	0.000200000000000006
5720	0.010256129107803	0.0145023576363385	0.0205368644658317	-0.00617573032554269	-0.0024	-0.0018	0.001	-0.00101548244654394
5760	0.0310959846311311	0.0210301264260147	0.0305552967673534	-0.00656413185078713	0.000200000000000006	-0.00255709410034545	0.000400000000000011	0.0048
5800	0.0140891778016642	0.0206639667142574	0.00580958784900931	0.00582010490537572	-0.0016	-0.0024	0.00159999999999999	0.00291645354606608
